Aspect_Ratio,Box_Office,Director,Genre,Link,Name,Original_Language,Producer,Production_Co,Rating,Release_Date_Streaming,Release_Date_Theaters,Runtime,Sound_Mix,Writer
Scope (2.35:1),$700.2M,Ryan Coogler,"adventure, fantasy, action",https://www.rottentomatoes.com//m/black_panther_2018,Black Panther,English,Kevin Feige,Walt Disney Pictures,PG-13 (Sequences of Action Violence|A Brief Rude Gesture),"May 2, 2018","Feb 16, 2018",2h 14m,"DTS, Dolby Atmos",Ryan Coogler
Flat (1.37:1),$163.2K,Charlie Chaplin,comedy,https://www.rottentomatoes.com//m/modern_times,Modern Times,English,Charlie Chaplin,Charles Chaplin Productions,G,"May 22, 2017","Feb 5, 1936",1h 29m,Mono,Charlie Chaplin
Scope (2.35:1),$53.4M,Bong Joon-ho,"mystery and thriller, drama, comedy",https://www.rottentomatoes.com//m/parasite_2019,Parasite,Korean,Gwak Sin-ae,"CJ Entertainment, TMS Entertainment",R (Sexual Content|Language|Some Violence),"Oct 11, 2019","Nov 1, 2019",2h 12m,"Dolby Atmos, Dolby Digital",Han Jinwon
Scope (2.35:1),$858.4M,Anthony Russo,"adventure, fantasy, sci fi, action",https://www.rottentomatoes.com//m/avengers_endgame,Avengers: Endgame,English,Kevin Feige,"Marvel Studios, Walt Disney Pictures",PG-13 (Sequences of Sci-Fi Violence|Action|Some Language),"Jul 30, 2019","Apr 26, 2019",3h 1m,"Dolby Atmos, DTS, Dolby Digital, SDDS",Christopher Markus
Flat (1.37:1),,Michael Curtiz,drama,https://www.rottentomatoes.com//m/1003707-casablanca,Casablanca,English,Hal B. Wallis,Warner Brothers,PG,"Aug 15, 2008","Jan 23, 1943",1h 42m,Mono,Julius J. Epstein
Flat (1.37:1),$5.5M,Victor Fleming,"fantasy, musical, kids and family",https://www.rottentomatoes.com//m/the_wizard_of_oz_1939,The Wizard of Oz,English,Victor Fleming,Metro Goldwyn Mayer,G,"Sep 29, 2009","Aug 25, 1939",1h 41m,Mono,Noel Langley
Academy (1.33:1),$977.3K,Orson Welles,drama,https://www.rottentomatoes.com//m/citizen_kane,Citizen Kane,English,Orson Welles,"Mercury Productions, RKO Radio Pictures Inc.",PG,"Jun 28, 2016","May 1, 1941",1h 59m,Mono,Herman J. Mankiewicz
Flat (1.85:1),$165.4M,Rian Johnson,"crime, mystery and thriller, drama, comedy",https://www.rottentomatoes.com//m/knives_out,Knives Out,English,Rian Johnson,"FilmNation Entertainment, Media Rights Capital",PG-13 (Drug Material|Brief Violence|Sexual References|Some Strong Language|Thematic Elements),"Jun 12, 2020","Nov 27, 2019",2h 10m,Dolby,Rian Johnson
Flat (1.85:1),$48.9M,Greta Gerwig,"drama, comedy",https://www.rottentomatoes.com//m/lady_bird,Lady Bird,English,Scott Rudin,"Scott Rudin Productions, A24",R (Language|Brief Graphic Nudity|Sexual Content|Teen Partying),"Feb 13, 2018","Nov 22, 2017",1h 34m,Dolby Digital,Greta Gerwig
Flat (1.85:1),$134.8M,Francis Ford Coppola,"crime, drama",https://www.rottentomatoes.com//m/godfather,The Godfather,English,Albert S. Ruddy,Paramount Pictures,R,"Aug 1, 2013","Mar 15, 1972",2h 57m,Mono,Francis Ford Coppola
Scope (2.35:1),$434.0M,Josh Cooley,"adventure, fantasy, animation, kids and family, comedy",https://www.rottentomatoes.com//m/toy_story_4,Toy Story 4,English,Mark Nielsen,Pixar Animation Studios,G,"Oct 1, 2019","Jun 21, 2019",1h 40m,"DTS, Dolby Digital, Dolby Atmos",Andrew Stanton
